MATCH	Form	Root	Nominal_class	Meaning_de	Pages	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_Fs	Coptic_F	Coptic_M	Coptic_Sf	Coptic_O	Coptic_H	Coptic_Sa	Coptic_V	Coptic_ManiHPK	Coptic_Mf	Coptic_Sh	Coptic_Bf	Coptic_Copt_undefined
741	*ji:nvj	jn	AaB'i:Cij/w	Schnur; Seil	194, 733	ⲉⲓⲛⲉ		ⲉⲓⲛⲉ														
742	*jaw'en	jwn		Farbe	308, 436, 863	ⲁⲩⲁⲛ																
745	*j'enbvt	jnb	A'iBCit	Pferch	140	ⲣⲃⲉ																
747	*j(i)nb'aꜣ	jnbꜣ	AiB'aC	der Stumme	156, 483		ⲉⲃⲟ															
748	*jvnb'aꜣwvw	jnbꜣw	AiB'aC	der Stumme	156, 483	ⲉⲃⲟⲟⲩⲉ, ⲉⲙⲡⲟ	ⲉⲃⲱⲟⲩ															
750	*jan'aḥ	jnḥ	AaB'aC	Einfassung; Saum	44, 539	ⲁⲛⲁϩ																
751	*j'enḥvw	jnḥ	A'iBCaw	Einfassung; Augenbraue	79	ⲉⲛϩ		ⲉⲛϩ														
757	*jvn'e:/u:nv(y)	jnn	AaB'u:Cvw	Strick; Seil; Ring; Halsband	202, 682		ⲗⲏⲗ															
758	*jvn'e:/u:nvt	jnn	AaB'u:Cvt	Netz; Wabe	202		ⲛⲏⲛⲓ															
759	*jvn'a:nvk	jnnk		eine Pflanze (Thymian? Konyza?)	302	ⲉⲛⲟⲩⲛⲅ																
760	*j'enkv(y)	jnk		eine Pflanze (Thymian? Konyza?)	302	ⲉⲛⲅ																
766	*j'a:nvt	jn	A'aBCat	Tal	220	ⲱⲛⲉ																
768					78, 473	ⲏⲡⲉ																
769	*j'apyvt	jpy	AaB'aCwvt	Mass; Oipe-Mass	186	ⲟⲉⲓⲡⲉ																
771	*j'e/ib(w/y)vt	jb	A'iBCat	Zählung; Abrechnung; Anzahl; Zahl	78, 473	ⲁⲡⲥ, ⲏⲡⲥ																
772	*j'ap(w)vt	jp	A'aBCut	Zahl; Zählung; Abrechnung; Anzahl	64	ⲟⲡⲥ																
773	*jap'ad	jpd		Becher	753	ⲁⲡⲟⲧ																
775	*jap'eꜣyvw	jpꜣy		Krapp; Färberröte	753, 879	ⲉⲡⲁⲉⲓⲉ					ⲁⲡⲉⲓ											
778	*jar'ej	jrj		zugehörig; Genosse	314									ⲁⲣⲉⲓ								
779	*jar'e:/i:jvw	jrj		Genosse	491, 861	ⲉⲣⲏⲩ	ⲁⲣⲏⲟⲩ	ⲉⲣⲏⲩ	ⲉⲣⲏⲩ		ⲁⲗⲏⲟⲩ, ⲁⲣⲏⲩ											
780	*j'e:/i:rvj	jr		zugehörig; Genosse	315, 462, 855		ⲏⲣ					ⲏⲣ										
783	*jar'a:(y)vt	jr	AaB'a:Cat	ein Gefäss	216	ⲁⲣⲟ, ⲁⲣⲟⲩ																
784	*j'i:rvt	jr	A'i:Bit	tun	51, 362, 365, 387, 424, 428	ⲉⲓⲣⲉ																
785	*j'erwvt	jrw	A'iBCat	Zeremonie; Korn als Abgabe; Speise; Nahrung	82		ⲉⲣⲓ															
788	*jvr'a-	jr-		tun; machen	423		ⲣⲁ				ⲗⲁ											
790	*j'i:rvt	jr		Auge	423, 428, 464, 871	ⲉⲓⲁ																
792	jrp	jrp		Wein	462																	
796					x																	
797	*jisj'e/it	jsjt	AiBj/w'it	leicht werden; leicht sein	61, 335, 406, 480, 486	ⲁⲥⲁⲓ	ⲁⲥⲓⲁⲓ	ⲉⲥⲓⲉⲉⲓ	ⲁⲥⲓⲉ, ⲉⲥⲓⲉ													
802	*j'esqvt	jsq	A'iBCat	Zögern; Verzögerung	80	ⲁⲥⲕⲉ																
803	jsq	jsq		zörgen	80	ⲱⲥⲕ																
805	*j'a:tvj	jt		Väter	365, 427, 500									ⲓⲟⲩⲧ								
807	*j'atjvw	jtj		Väter	365, 427, 500																	
808	*jat'aḥ	jtḥ	AaB'aC	Art Stoff; Aufgebundenes; Last	220	ⲉⲧⲁϩ	ⲁⲑⲁϩ															
810	*j'etḥvt	jtḥ	A'uBCit	Art Stoff; Tuch oder Gewand	229, 771	ⲁⲧϩⲉ																
811	*jat'aḥ	jtḥ	AaB'aC	Art Stoff; Aufgebundenes; Last	220, 579, 771	ⲁⲧⲁϩ																
812	*j'etḫv(y)	jtḫ	A'iBCaw	Webkette	244	ⲟⲩⲁⲧϩⲉ																
814	jtḥ	jtḥ		ziehen	220, 229, 244	ⲱⲧϩ																
815	*j'etḥvt	jtḥ	A'uBCit	Art Stoff; Tuch oder Gewand	229, 771	ⲁⲧϩⲥ																
817	*jvtr'e:(y)vt	jtr		Fluss	291	ⲉⲓⲉⲣⲏ																
823	*jvwd'a:(y)'=	jwd=	A'iBCaw	zwischen	80	ⲟⲩⲧⲱ'=, ⲟⲩⲧⲉ-	ⲟⲩⲧⲱ'=, ⲟⲩⲧⲉ-	ⲟⲩⲧⲱ'=, ⲟⲩⲧⲉ-	ⲟⲩⲧⲱ'=, ⲟⲩⲧⲉ-		ⲟⲩⲧⲱ'=, ⲟⲩⲧⲉ-											
826	*jawr'a:yvt	jwry	AaBC'a:wat	Bohne	171	ⲁⲣⲱ, ⲟⲩⲣⲱ	ⲟⲩⲣⲱ				ⲁⲣⲱ, ⲟⲩⲣⲱ											
827	*jaw'a:ꜣvt	jwꜣ	AaB'a:Cat	Pfand	215		ⲁⲟⲩⲱ															
828	*j'awꜥvw	jwꜥ	A'aBCaw	Erbe	166									ⲱⲟⲩ								
831	*j'azyvy	jzy	A'aBCuw	Verlust; Schaden; Busse	69	ⲟⲥⲉ																
832	*jvꜣj'aw	jꜣjw	AuBC'aw	Lobpreis; Ruhm	91, 509	ⲉⲟⲟⲩ			ⲉⲁⲩ													
833	*j'aꜣ	jꜣ	AaB'aC	Ruhm; Lobpreis	44				ⲓⲟ													
835	*jaꜣ'ebtvj	jꜣbt		östlich; Osten	312						ⲁⲓⲏⲃⲧ											
837	*j'e/iꜣbvt	jꜣb	A'iBCat	Eiter; Krankheit	84, 423, 427, 432	ⲉⲓⲁⲁⲃⲉ, ⲉⲓⲁⲃⲉ	ⲓⲁⲃⲓ		ⲓⲁⲁⲃⲉ, ⲓⲁⲃⲉ		ⲓⲉⲃⲉ, ⲓⲉⲉⲃⲉ											
839	*j'a/eꜣḫ(e/ij)	jꜣḫ	A'aBCiD	Papyrusdickicht	126		ⲁϧⲓ															
840				Porree	no etym 353																	
841	*j'e/iꜣrvw	jꜣr	A'iBCaw	Büschel'; Art Sumpfgras; Bockshornklee	244, 427, 444, 677		ⲁⲗⲓ															
842	*jaꜣr'ar(w)vt	jꜣrr		Weinstock; Weintraube	297, 677		ⲁⲗⲟⲗⲓ															
849	*ꜥvr'e/ijwvt	ꜥrjw	AuB'iCwvt	aufsteigen	114, 388, 411, 513	ⲁⲗⲉ	ⲁⲗⲏⲓ				ⲁⲗⲏ	ⲁⲗⲏ			ⲁⲗⲏ							
850	*k'vj	k		anderer	409	ⲕⲉ	ⲕⲉ	ⲕⲉ	ⲕⲉ		ⲕⲏ	ⲕⲏ			ⲕⲏ							
851	*k(u)b'e/injvt	kbnj		Byblos-Schiff	311, 475	ϭⲓⲛⲟⲩⲁⲗ, ϭⲓⲛⲟⲩⲏⲗ			ϭⲓⲛⲟⲩⲉⲗ		ϭⲉⲟⲩⲏⲗ											
853	*kvf'aꜥ	kfꜥ	AaB'aC	Zwang(sarbeit)	43	ⲕⲃⲁ	ⲭⲃⲁ															
854	kfꜥ	kfꜥ		erbeuten; requirieren	43	ⲕⲱⲱⲃⲉ																
855	*k'ahꜣvt	khꜣ	A'aBCat	Nebenbuhlerin	121, 369	ⲕⲟⲓϩⲉ																
856	khA	khA		rasen u.ä.	121	ⲕⲱϩ																
857	*k'ek(j)vw	kk	A'uBCaw	Finsternis	93, 427, 500	ⲕⲁⲕⲉ																
858	*k'a:kvw < *k'akjvw	kkw < kkj	A'aBCuw	Finsternis; Dunkelheit	74, 365									ⲕⲱⲕ, ⲭⲱⲱⲭ								
859	*kamm'e/i(j)wv	kmmw	AaBC'ij	schwarz	161, 411, 437, 448, 492, 696		ⲭⲁⲙⲉⲩ						ⲕⲁⲙⲁⲩⲉⲓ									
860	*kamm'e/i(j)	kmm	AaBC'ij	schwarz	161, 411, 437, 448, 492, 696	ⲕⲁⲙⲉ, ⲕⲙⲙⲉ	ⲭⲁⲙⲉ, ⲭⲉⲙⲓ				ⲕⲁⲙⲏ, ⲕⲉⲙⲓ		ⲕⲁⲙⲏ									
861	*k'e:/u:mvt	km	AuBC'ut	das Schwarze'; Ägypten	149, 640	ⲕⲏⲙⲉ																
862	*k(a)mm'ut	kmmt		Finsternis	415, 579	ⲕⲙⲉ																
863	*kvm'e:/u:m(e)t	kmmt	AaB'u:Cut	Dunkelheit	99	ⲕⲙⲏⲙⲉ			ⲕⲙⲏⲙⲉ													
864	*k'emmv(y)	kmm	A'uBCiw	schwarz	179	ⲕⲙⲙⲉ																
865	kmm	kmm	AaB'aC	schwarz werden; Schwärze	46, 161, 179	ⲕⲙⲟⲙ																
866	*svk'i:mv(y)	skm	AuB'i:Caw	Ergrauen der Haare; graues, weisses Haar	111, 306, 358	ⲥⲕⲓⲙ																
867	*svkvmk'i:mv(y)	skmkm		Getüpfeltes; Geflecktes	306	ⲥⲕⲙⲕⲓⲙ																
868	*kamm'e:(j)vt	kmm	AaBC'i:jat	schwarz	161, 411, 437, 448, 492, 696	ⲕⲁⲙⲏ																
869	*kan'e:/u:mv(y)	knm	AaB'u:Cuw	umarmen	102		ⲁⲙⲁⲗⲏϫ															
870	*k'enmvt	knm	A'uBCit	Bausch; Tampon	231, 655	ⲕⲗⲙⲉ																
871	*kvn'am	knm	AiB'aC	Kranz; Krone	157	ⲕⲗⲟⲙ																
872	*kvn'am(y)vt	knm	AaB'aCwvt	Binde; Strieme	187, 655	ⲕⲗⲟⲟⲙⲉ																
873	*k'anmv(y)	knm	A'aBCuw	Umarmung	66		ⲙⲟⲗϫ															
874	knm	knm		umschlingen; unarmen; ineinanderlegen	66, 102		ⲙⲟⲩⲗϫ															
875	*kvn(a)m'a:tvj	knmt		Plejaden (Sternbild	475	ϭⲓⲛⲙⲟⲩⲧ																
882	*kv(ꜣ)r'a:rv(y)	krr		ein Gefäss	297	ⲕⲉⲗⲱⲗ	ⲕⲉⲗⲱⲗ															
883	*kv(ꜣ)r'ar(y)vt	krr		Krug	297		ⲕⲉⲗⲟⲗⲓ															
888	*k'atpvt	ktp	A'aBCut	Niederlage	68	ϭⲟⲧⲡⲥ	ϭⲟⲧⲡⲥ															
889	*kvt'ap	ktp	AaB'aC	Niederlage	43		ϭⲧⲟⲡ															
890	*ktp	ktp		besiegen; vertreiben; verkaufen	43, 68	ϭⲱⲧⲡ	ϭⲱⲧⲡ		ϭⲱⲧⲡ		ϭⲱⲧⲡ											
891	*k'ettvt	ktt	A'iBCit	Laus	138	ⲕⲁⲧⲕⲉ																
895	*k(a)ꜣ(a)mw'ej	kꜣmwj		Gärtner	312, 410, 437, 448, 491	ϭⲙⲉ	ϭⲙⲉ				ϭⲓⲙⲏ											
896	*k(a)ꜣ(a)mw'ejwvw	kꜣmwjw		Gärtner	312, 410, 437, 448, 491	ϭⲙⲉⲉⲩ, ϭⲙⲏⲩ				ϭⲙⲁⲩⲉⲓ												
897	kꜣmw	kꜣmw		Garten	857	ϭⲱⲙ	ϭⲱⲙ	ϭⲱⲙ	ϭⲱⲙ		ϭⲱⲙ											
899	*kvꜣ'e:/u:bvt	kꜣb	AaB'u:Cuw	Bedeckung; Dach; Decke	98, 540	ⲕⲏⲡⲉ																
900	kꜣp	kꜣp		verstecken; versteckt sein	591, 666	ⲕⲱⲡ	ⲭⲱⲡ				ⲕⲱⲡ											
901	*k'aꜣpvt	kꜣp	A'aBCut	Eroberung	67	ϭⲟⲡⲥ																
903	*k'a:ꜣvr	kꜣr	A'a:BaC	Kapelle; Schrein o.ä.	216, 484	ⲕⲱ																
904	*k(a)ꜣ'ašjvt	kꜣšj		Nubierin	311, 382, 776	ⲉϭⲟⲟϣⲉ, ⲉϭⲟϣⲉ	ⲉⲑⲟϣⲓ															
906	*k(a)ꜣ'a:švj	kꜣš		Nubier	311, 382, 776	ⲉϭⲱϣ		ⲉϭⲱϣ														
908	*r'e:/u:n(ay)	rn	A'uBCaw	Kindheit; Jugend	92	ⲣⲏⲛⲉ																
911	*m'e:/u:ḏ(aw)	mḏ	A'uBCaw	Tiefe	92				ⲙⲏⲧ													
913	*m'aḥ(jvy)	mḥ	A'aBCiw	Schale; Nest	235								ⲙⲁⲁϩ, ⲙⲁⲁϩⲓ									
915	*m'e:ḥv(y)	mḥ	A'iBCaw	Nest	243, 802, 814			ⲙⲏϩⲉ														
916	*m'e/iḥ(w)vt	mḥ	m'iAuBCit	Feder; Gefieder	256, 457	ⲙⲏϩⲉ	ⲙⲉϩⲓ															
918	*m'aḥ(y)vt	mḥ	A'aBCut	Fülle	71				ⲙⲁϩⲥ													
919	mḥ	mḥ		füllen; voll sein	71, 456	ⲙⲟⲩϩ																
920	*m'aḥyvt	mḥy	A'aBCat	Schale; ein Mass für Kraut; ein Mass für Futter	214	ⲙⲟⲉⲓϩ																
921	*m(a)ḥ'i:tvj	mḥt		nördlich; Norden	312, 837	ⲙϩⲓⲧ																
922	*maḥ'e:/iwvt	mḥw		Nordwind	312, 837				ⲙϩⲏ													
925	*mark'abt(u)	mrkbt		Wagen	331	ⲃⲣϭⲟⲟⲩⲧ																
926	*mark'abt(u)	mrkbt		Wagen	331		ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ															
927	*m'eẖtvw	mẖt		Eingeweide	322, 402	ⲙⲁϩⲧ	ⲙⲁϧⲧ		ⲙⲉϩⲧ, ⲙⲉϩⲧⲉ		ⲙⲉϩⲧ											
928	*mbh'eꜣwvt	mbhꜣw		Familie; Sippe	322									ⲙϩⲁⲟⲩⲉ								
930	*m(a)j'a:wvt	mjw		Katze	354, 355	ⲁⲙⲟⲩ, ⲉⲙⲟⲩ																
937	*m'a:mvw	mm	m'aABaD	Quelle	206	ⲙⲟⲩⲙⲉ																
938				Griff eines Gerätes; greifen; packen	no etym 356		ⲁⲙⲟⲛⲓ															
939	*m'e:/u:nvt	mn		Schwalbe	475, 308, 455, 550	ⲃⲏⲛⲉ, ⲃⲓⲛⲉ	ⲃⲓⲣⲓ															
941	*m'i:nvt	mn	A'aBCat	Feuerbecken; Schmelztiegel	122		ⲃⲓⲛⲓ															
942	*jam'i:nvj	jmn	AaB'i:Cij/w	Art Krug; irdener Topf	194		ⲁⲙⲓⲛ															
943	*m'e/inyvw	mny		Zeichen	386. 387, 389		ⲙⲏⲓⲛⲓ				ⲙⲏⲓⲛ											
944	*m'i:nvw	mn	A'iBCaw	Dauer; Aufenthalt; Lager; Tierlager	83, 357		ⲙⲓⲛ															
945	*m'i:nvt	mn	A'aBCat	Bleibendes'; Art	127	ⲙⲓⲛⲉ																
946	*jvm'e/inwvt	jmnw	AaB'iCj/wat	Dauerndes u.ä.; täglich	196, 389, 470, 733																	
947	*mvn'a:tvj	mnt		Türhüter	776	ⲙⲛⲟⲩⲧ	ⲙⲛⲟⲩⲧ															
949	*m'a:nvt	mn	A'iBCit	Wurzel	139, 385	ⲛⲟⲩⲛⲉ	ⲛⲟⲩⲛⲓ															
951	*sim'i:nit	smnt	siA'i:bit	festsetzen, einrichten	25, 55, 113, 588	ⲥⲙⲓⲛⲉ		ⲥⲙⲓⲛⲉ	ⲥⲙⲓⲛⲉ		ⲥⲙⲓⲛⲓ											
953	*svm'en(yvt)	smn	AuB'iCw.vt	festsetzen, einrichten	25, 55, 113, 588				ⲥⲙⲛⲛⲉ													
954	*s'imnit	smnt	s'iABit	festsetzen, einrichten	25, 55, 113, 588		ⲥⲉⲙⲛⲓ				ⲥⲉⲙⲛⲓ											
962	*m'ajn(a)j	mjnj	A'aBCaj/w	weiden	26, 39, 55, 465, 467, 469, 582	ⲙⲟⲟⲛⲉ	ⲁⲙⲟⲛⲓ, ⲙⲟⲛⲓ		ⲙⲁⲛⲉ													
964	*mvn'a:ḫv(w)	mnḫ	AaB'a:Cuw	Meissel; Beitel	186, 581, 599		ⲙⲁϧⲟⲩⲗ															
965	*mvn'e:ḫv(y)	mnḫ	AaB'u:Cuw	Heilung bringen	101, 599	ⲙⲉⳋⲏⲗ																
966	mnḫ	mnḫ		zusammenfügen u.ä.	123, 337, 599	ⲙⲟⲩⲗϩ	ⲙⲟⲩⲗϧ															
967	*mvꜥn'i:nv(y)	mꜥnn	mvAB'i:Cvw	aus zwei Stricken zusammengewundenes Seil; Seil; Strick o.ä.	209, 682	ⲙⲁⲗⲗⲓⲛ, ⲙⲁⲛⲓⲛ	ⲙⲁⲗⲓⲗ															
970	*m'anꜥvt	mnꜥ	A'aBCat	Amme	120, 398	ⲙⲟⲟⲛⲉ	ⲙⲟⲛⲓ	ⲙⲁⲁⲛⲉ														
971	*m'aqḥvt	mqḥ	A'aBCut	Trauer	73	ⲙⲟⲕϩⲥ																
972	*m(a)q'aḥ	mqḥ	A(a)B'aC	betrübt werden; Schmertz; Leid	38, 73, 362, 512	ⲙⲕⲁϩ	ⲙⲕⲁϩ	ⲙⲕⲁϩ	ⲙⲕⲁϩ													
973	*m'a:q(a)ḥ	mqḥ	A'a:B(a)C	betrüben	38, 73, 362, 512	ⲙⲟⲩⲕϩ																
974	mr	mr		Flut	728																	
975	*jam'e/ir(j/y)vt	jmr	AaB'iCj/wat	das, was über die Ufer tritt'; Überschwemmung	196, 389, 392, 473	ⲉⲙⲏⲣⲉ	ⲁⲙⲁⲓⲣⲓ, ⲁⲙⲏⲓⲣⲓ															
977	*m'e/irj(i)t	mrjt	A'iBj/wit	lieben	26, 52, 409, 426	ⲙⲉ												ⲙⲉⲓⲉ				
978	*mvrw'e:tvj	mrwt		geliebt; Liebling	319, 390			ⲙⲣⲣⲓⲧ														
979	*m'e:/u:r(a)w	mrw	A'uBCvw	Ufer o.ä; Wüste; (gegenüberliegendes) Ufer	265, 839	ⲙⲏⲣ	ⲙⲏⲣ															
980	*m'e/ir(j)vw	mr	A'iBCaw	Bündel; Bund	243, 436, 473	ⲙⲁⲣ, ⲙⲏⲣ																
981	*m'e/ir(y)vt	mr	AuB'iCwit	Bündel	248, 473	ⲙⲁⲓⲣⲉ, ⲙⲏⲣⲉ	ⲙⲏⲓⲣⲓ															
982	*m'ar(y)vt	mr	A'aBCut	Bindung'; Verpflichtung; Geldbeutel	64	ⲙⲟⲣⲥ	ⲙⲟⲣⲥ															
983	*m'a:rvw	mr	AaB'a:Cuw	Zeugstreifen; Binde; Band	186	ⲙⲟⲩⲣ	ⲙⲟⲩⲣ															
984	mr	mr		binden	194	ⲙⲟⲩⲣ																
985	*mvr'awtvt	mrwt		Hafen; Kai	337				ⲙⲣⲁⲩⲧ													
986	*m'er(j/y)vt	mr	AaB'iCj/wat	Band; Kette; Glied	194	ⲙⲣⲣⲉ		ⲙⲣⲣⲉ														
988	*mvr'e/iḥ(w)vt	mrḥ	mvAB'iCwvt	Salbe; Asphalt	209, 457, 471, 481, 582	ⲁⲙⲣⲉϩⲉ, ⲁⲙⲣⲏϩⲉ	ⲉⲙⲣⲉϩⲓ, ⲙⲣⲉϩⲓ	ⲁⲙⲣⲏϩⲉ			ⲁⲙⲣⲉϩⲓ											
989	*m(u)r'e:/u:ḥ	mrḥ		Lanze	12, 380, 456			ⲙⲉⲣⲏϩ	ⲃⲉⲣⲏϩ													
990	*m(u)r'e:/u:ḥ	mrḥ		Lanze	12, 380, 456	ⲙⲉⲣⲉϩ, ⲙⲉⲣϩ	ⲙⲉⲣⲉϩ, ⲙⲉⲣϩ															
991	*(j)amvsj'e(y)	msj	AaBC'iw	geboren	238									ⲁⲙⲥⲓⲉ, ⲙⲉⲥⲓⲉ								
992	*m'es	ms	AuB'iC	Kind; Junges	228	ⲙⲁⲥ																
993	*m'es(jvy)	ms	A'iBCaw	Kalb	243, 432, 493	ⲙⲁⲁⲥⲉ, ⲙⲁⲥⲉ																
994	*mvs(j)'a:wvt	msw	AaBC'a:wat	Gebärerin; Hebamme	169	ⲙⲉⲥⲓⲱ																
995	*m(e/i)sw'a:tvt	mswt		Mädchen; Mutterleib	318, 546		ⲙⲉⲥⲓⲱϯ															
996	*m'e/isjvt	msj	A'iBCit	Frau, die geboren hat; Frauenzimmer o.ä.; Wochnerin	138, 471	ⲙⲏⲥⲉ	ⲙⲏⲥⲓ															
997	msj	msj	A'i:Bit	gebären	51, 356	ⲙⲓⲥⲉ																
998				gebären lassen; entbinden	674	ⲙⲉⲥⲓⲟ	ⲑⲙⲉⲥⲓⲟ	ⲧⲙⲁⲥⲉⲓⲟ														
999	*m'e/isw(a)t	mswt	A'iBCat	Geburt; Nachkommenschaft; Zins	82, 358, 471	ⲙⲏⲥⲉ	ⲙⲏⲥⲓ	ⲙⲏⲥⲉ	ⲙⲏⲥⲉ													
1002	*masḏ'ew	msḏw	AaBC'iw	gehasst; Gehasster; Feind; Rivale	239, 386, 411	ⲙⲁⲥⲧⲉ, ⲙⲉⲥⲧⲉ		ⲙⲉⲥⲧⲟⲩ	ⲙⲉⲥⲧⲟⲩ													
1004	msḏj	msḏj	A'aBCaj/w	hassen	39	ⲙⲟⲥⲧⲉ																
1005	*m'ešdvt	mšd	miA'uBCit	Furt	256, 386	ⲙⲏϣⲧⲉ																
1006	mšt	mšt		untersuchen; besuchen; umhergehen	261	ⲙⲟⲩϣⲧ																
1007	*m'aštv(y); *m'aštvt	mšt; mšt	A'aBCiw/t	untersuchen; besuchen; umhergehen	261	ⲙⲟϣⲧⲉ																
1012	*m'e:švꜥ	mšꜥ		Menge	455	ⲙⲏⲏϣⲉ		ⲙⲓⲉⲓϣⲉ, ⲙⲓϣⲉ														
1013					39, 503	ⲙⲟⲟϣⲉ	ⲙⲟϣⲓ	ⲙⲁⲁϩⲉ	ⲙⲁⲁϩⲉ		ⲙⲁϣⲓ											
1014	*m'e/itjvt	mtj	A'iBj/wit	erreichen	52, 430, 485, 646, 647, 651	ⲙⲁⲁⲧⲉ, ⲙⲁⲧⲉ		ⲙⲉⲉⲧⲉ, ⲙⲉⲧⲉ	ⲙⲉⲉⲧⲉ, ⲙⲉⲧⲉ													
1016				Sehen; Nerv	866	ⲙⲟⲩⲧ	ⲙⲟⲩⲧ															
1018	*m'e:/u:tvj	mt	A'u:BiC	richtig	150	ⲙⲏⲧ																
1019	*m'e/utrvt	mtr	AuBC'ut	Mittag	149, 441	ⲙⲉⲉⲣⲉ	ⲙⲉⲣⲓ			ⲙⲏⲏⲣⲉ	ⲙⲏⲗⲓ	ⲙⲏⲣⲉ										
1020	*mvtr'ew	mtrw	AuBC'iw	Zeuge	176, 412, 437	ⲙⲉⲑⲣⲉ, ⲙⲛⲧⲣⲉ	ⲙⲉⲑⲣⲉ, ⲙⲉⲧⲣⲏ				ⲙⲉⲧⲣⲏ	ⲙⲉⲧⲣⲏ										
1021	*mvtr'ew	mtrw	AuBC'iw	Zeuge	176, 412, 437	ⲙⲉⲧⲣⲉⲉⲩ																
1025	*m'aw	mw		Wasser	292, 488	ⲙⲟⲟⲩ			ⲙⲁⲩ													
1026	*mvwj'e:(y)vt	mwj		Wasser	292, 488	ⲙⲟⲩⲉⲓⲏ																
1028	*m'ejwvt	mjw		Mutter	427	ⲙⲁⲁⲩ	ⲙⲁⲩ	ⲙⲟ, ⲙⲱ	ⲙⲉⲉⲩ		ⲙⲉⲉⲩ	ⲙⲉⲩ			ⲙⲁⲩ	ⲙⲟ, ⲙⲱ						
1029	*m'ejzvt	mjz		Leber	695									ⲙⲁⲟⲩⲥ								
1030	*m'e/iꜣwvṯ	mꜣwṯ	A'iBCiD	denken	54, 436	ⲙⲉⲉⲩ, ⲙⲉⲉⲩⲉ	ⲙⲉⲟⲩⲓ	ⲙⲉⲉⲩⲉ	ⲙⲉⲉⲩⲉ		ⲙⲏⲏⲟⲩⲓ, ⲙⲏⲟⲩⲓ	ⲙⲏⲟⲩⲉ			ⲙⲏⲟⲩ, ⲙⲏⲟⲩⲏ							
1031	*m'aꜣwvt	mꜣw	A'aBCat	new; Neues; Neuland; Insel	130, 489	ⲙⲟⲩ, ⲙⲟⲩⲉ, ⲙⲟⲩⲉⲓ, ⲙⲟⲩⲓ, ⲙⲟⲩⲓⲉ					ⲙⲟⲩⲓ, ⲙⲟⲩⲟⲩⲓ											
1033	*m'a:ꜣ(e)j	mꜣj		Löwe	447, 482, 483	ⲙⲟⲩⲓ	ⲙⲟⲩⲓ	ⲙⲟⲩⲓ	ⲙⲟⲩⲓ		ⲙⲟⲩⲓ											
1034	*m(a)ꜣ'ejwvw	mꜣjw		Löwe	447, 482, 483						ⲙⲟⲩⲓ											
1035	*m(a)ꜣ'e:jvt	mꜣj		Löwin	447, 482, 483		ⲙⲓⲉ, ⲙⲓⲏ, ⲙⲟⲩⲓⲏ, ⲙⲩⲏ															
1037	*mvꜣ'aww(e)t	mꜣwt	m'aABaD	Stäbe; Stangen; Halme; Strahlen; Glanz	206		ⲙⲟⲩⲉ, ⲙⲱⲟⲩⲓ															
1041	*mvꜥ'a:qvt	mꜥq	maAB'a:Dit	Leiter	206		ⲙⲟⲩⲕⲓ															
1043	*m'e/uꜣꜥ.vt	mꜣꜥ.	A'uBC.ut	das Rechte, Wahre; Wahrheit	12, 149, 439, 440, 455, 457, 458	ⲙⲉ, ⲙⲉⲉ, ⲙⲏⲉ	ⲙⲉⲓ, ⲙⲏⲓ	ⲙⲓⲉ	ⲙⲏⲉ		ⲙⲉⲉⲓ, ⲙⲉⲓ, ⲙⲏⲓ	ⲙⲉⲉ										
1045				ehren	676																	
1046	*m'aꜥ(yvj)	mꜥ		Ort; Platz	321	ⲙⲁ	ⲙⲁⲓ	ⲙⲁ	ⲙⲁ													
1047	*m'a:ꜥv(y)	mꜥ			321, 738		ⲙⲟⲩ				ⲙⲟⲩ											
1054	*n(a)b'a:w(e)t	nbwt		die zum Gold(gebiet) gehörige (Stadt); Ombos	310, 768			ⲉⲙⲃⲱ, ⲙⲃⲱ, ⲛⲃⲱ, ⲛⲃⲟⲩ														
1055	*n'a:b(a)w	nbw	A'a:BaC	Geschmolzenes'; Gold	216	ⲛⲟⲩⲃ	ⲛⲟⲩⲃ	ⲛⲟⲩⲃ	ⲛⲟⲩⲃ		ⲛⲟⲩⲃ											
1057	*n'e/ib(j)vt	nb		schwimmen	473		ⲛⲉⲃⲓ, ⲛⲉϥⲓ															
1058	*n'i:bvt	nb		schwimmen	473	ⲛⲓⲃⲉ, ⲛⲓϥⲉ	ⲛⲓⲃⲓ, ⲛⲓⲡⲓ															
1059	*n'e/ib(j)vt	nb		schwimmen	473	ⲛⲏⲃⲉ, ⲛⲏⲏⲃⲉ	ⲛⲏⲃⲓ															
1060	*n'e/ib	nb		Herr	25, 478, 558				ⲛⲉⲡ													
1061	*n'i:bvw	nb		Herr	891		ⲛⲏⲃ															
1063	*n'abyv(j)	nby		Abscheu'; Verderb	322, 427, 500, 567	ⲛⲟⲃⲉ			ⲛⲁⲃⲓ													
1064	*nvb'a:dvt	nbd	AiB'a:Cvt	Flechter'; ein Webgerät	158	ⲉⲙⲡⲱⲧ																
1065	*n'ebdvt	nbd	A'uBCit	Fleche; Flechtwerk	230	ⲛⲏⲃⲧⲉ																
1066	nbd	nbd		flechten	158	ⲛⲟⲩⲃⲧ																
1067	*n'a:bvs	nbs		Christusdornbaum und dessen Frucht	321									ⲛⲟⲩⲃⲥ								
